,time,V
0,0.0,-49.7094187908202
1,0.00020004000800160032,-49.69747285582315
2,0.00040008001600320064,-49.68552696843634
3,0.000600120024004801,-49.673581114577765
4,0.0008001600320064013,-49.661635281516965
5,0.0010002000400080016,-49.64968936215793
6,0.001200240048009602,-49.637743356799824
7,0.0014002800560112022,-49.62579732259307
8,0.0016003200640128026,-49.61385125953766
9,0.0018003600720144029,-49.60190516763361
10,0.002000400080016003,-49.58995904688091
11,0.0022004400880176033,-49.57801289727955
12,0.002400480096019204,-49.566066575554764
13,0.0026005201040208044,-49.55411999209087
14,0.0028005601120224045,-49.54217329669319
15,0.0030006001200240046,-49.530226489361745
16,0.003200640128025605,-49.51827957009651
17,0.0034006801360272057,-49.506332538897496
18,0.0036007201440288058,-49.4943853957647
19,0.003800760152030406,-49.4824380288337
20,0.004000800160032006,-49.47049023253917
21,0.004200840168033607,-49.45854222629816
22,0.004400880176035207,-49.44659401011065
23,0.004600920184036807,-49.43464558397665
24,0.004800960192038408,-49.42269694789616
25,0.005001000200040008,-49.41074810186918
26,0.005201040208041609,-49.398799011951894
27,0.0054010802160432084,-49.38684949263456
28,0.005601120224044809,-49.374899681063525
29,0.0058011602320464095,-49.36294955782064
30,0.006001200240048009,-49.350999103487766
31,0.00620124024804961,-49.339048298646794
32,0.00640128025605121,-49.327097123879554
33,0.006601320264052811,-49.31514555976793
34,0.006801360272054411,-49.30319358689379
35,0.007001400280056011,-49.291241185838985
36,0.0072014402880576115,-49.27928833718538
37,0.007401480296059212,-49.26733504794267
38,0.007601520304060812,-49.25538129409794
39,0.007801560312062412,-49.24342704620894
40,0.008001600320064013,-49.23147228582878
41,0.008201640328065612,-49.21951699451053
42,0.008401680336067214,-49.2075611538073
43,0.008601720344068814,-49.19560474527217
44,0.008801760352070413,-49.18364775045824
45,0.009001800360072015,-49.1716901509186
46,0.009201840368073614,-49.159731928206355
47,0.009401880376075216,-49.147773073067206
48,0.009601920384076815,-49.135813604454256
49,0.009801960392078415,-49.1238534720713
50,0.010002000400080016,-49.111892658734135
51,0.010202040408081616,-49.09993114725857
52,0.010402080416083218,-49.087968920460376
53,0.010602120424084817,-49.07600596115536
54,0.010802160432086417,-49.06404225215929
55,0.011002200440088018,-49.05207777628799
56,0.011202240448089618,-49.04011251635723
57,0.011402280456091218,-49.02814645518279
58,0.011602320464092819,-49.01617958442394
59,0.011802360472094419,-49.00421188462484
60,0.012002400480096018,-48.99224333578161
61,0.01220244048809762,-48.98027392101778
62,0.01240248049609922,-48.96830362345689
63,0.01260252050410082,-48.95633242622242
64,0.01280256051210242,-48.94436031243789
65,0.01300260052010402,-48.932387265226815
66,0.013202640528105622,-48.92041326771272
67,0.013402680536107221,-48.90843830301912
68,0.013602720544108823,-48.89646234839743
69,0.013802760552110422,-48.88448536941744
70,0.014002800560112022,-48.8725073665556
